dia,mes,ano,hora,velocidade,direcao,temperatura,umidade,pressao
8,12,2015,18,7.433333,52.19464,25.20513,77.15385,1021.626
8,12,2015,19,6.666111,52.86475,25.15152,79.9863,1022.238
8,12,2015,20,6.496111,58.20589,24.54545,83.90722,1022.685
8,12,2015,21,6.642222,56.42055,24.18072,86.56,1022.973
8,12,2015,22,5.156111,45.03151,24.44444,88.47368,1023.115
8,12,2015,23,3.672778,30.46051,24.07407,91.53465,1022.967
9,12,2015,0,3.287778,36.41532,23.32,92.66176,1022.437
9,12,2015,1,3.647222,26.59707,23.55172,93.65714,1022.131
9,12,2015,2,2.45,8.220149,23.02778,94.83168,1022.231
9,12,2015,3,3.152222,34.67629,23.51724,94.47222,1022.264
9,12,2015,4,4.164444,24.57335,23.28571,95.16,1022.313
9,12,2015,5,5.099444,17.52344,23.52941,93.81944,1022.642
9,12,2015,6,5.468889,10.55515,23.56436,88.75424,1022.919
9,12,2015,7,5.679444,17.40516,23.78862,86.47059,1023.308
9,12,2015,8,5.625,25.20104,24.7541,76.96667,1023.642
9,12,2015,9,4.612778,34.23337,25.87313,71.89444,1023.727
9,12,2015,10,5.917778,100.9808,26,76.84568,1023.506
9,12,2015,11,8.022222,101.2442,25.19626,82.46429,1023.086
9,12,2015,12,9.333333,97.53179,25.41237,80.25,1022.668
9,12,2015,13,11.9337,87.39956,25.22543,76.35912,1010.654
9,12,2015,14,12.30556,83.1919,25.83333,74.22222,1021.387
9,12,2015,15,11.83167,83.24219,25.61644,76.60714,1021.07
9,12,2015,16,11.40611,80.05241,26.01351,74.83929,1021.025
9,12,2015,17,10.40143,74.79556,26,77.12857,1021.015
9,12,2015,18,8.405556,53.97333,25,77,1021.489
9,12,2015,19,8.343182,54.05865,25.13514,81.71875,1021.692
9,12,2015,20,7.702222,52.05567,24.27143,86.41558,1021.832
9,12,2015,21,7.19,44.59824,24.24,88.62821,1021.981
9,12,2015,22,8.036111,41.12659,23.975,91.01905,1021.811
9,12,2015,23,8.808333,39.95864,23.43902,91.44444,1021.297
10,12,2015,0,8.486667,37.71651,23.63333,91.52778,1020.876
10,12,2015,1,8.283889,32.55859,23.51724,93.31746,1020.683
10,12,2015,2,7.995,26.34908,23.2549,94.30645,1020.771
10,12,2015,3,7.072222,23.40634,22.39506,96,1020.895
10,12,2015,4,7.561667,23.57827,22.58696,95.25714,1020.977
10,12,2015,5,8.313889,22.66152,22.21311,94.42105,1021.202
10,12,2015,6,7.723333,21.67506,22.59444,92.78261,1021.556
10,12,2015,7,8.385366,22.29999,23.47692,90.39655,1021.755
10,12,2015,8,7.223077,24.50977,25.92308,74.46154,1022.435
10,12,2015,9,6.581111,25.4012,26.39604,70.67778,1022.295
10,12,2015,10,6.946667,27.95371,27.81618,60.81667,1022.037
10,12,2015,11,6.542778,16.05394,29.39773,49.37222,1021.518
10,12,2015,12,8.938333,69.67897,29.36842,56.08333,1021.042
10,12,2015,13,12.08389,75.00683,28.56805,62.67778,1020.301
10,12,2015,14,12.47944,72.61237,28.34615,64.95775,1019.89
10,12,2015,15,11.73,66.37544,28.15385,64.71111,1019.514
10,12,2015,16,11.42,60.45472,27.464,63.72152,1019.462
10,12,2015,17,10.42444,50.62792,26.71429,64.86047,1019.605
10,12,2015,18,9.32,46.18157,25.31034,73.38636,1019.899
10,12,2015,19,9.169444,43.73699,24.44231,81.8,1020.188
10,12,2015,20,9.916667,40.07993,24.57143,87.23404,1020.422
10,12,2015,21,9.435556,34.12014,23.48421,89.60656,1020.723
10,12,2015,22,8.371667,26.52557,23.29167,92.18889,1020.865
10,12,2015,23,6.973889,19.62309,22.76,93.72414,1020.689
11,12,2015,0,8.454444,21.469,22.64341,94.31183,1020.346
11,12,2015,1,8.916667,26.36096,21.33708,95.40426,1020.045
11,12,2015,2,7.657222,21.0893,21.17978,95.06667,1020.04
11,12,2015,3,8.698333,23.91293,21.23256,95.33333,1019.937
11,12,2015,4,8.26,29.45416,21.42553,95.65625,1020.049
11,12,2015,5,5.175556,359.642,21.66061,96.83333,1021.019
11,12,2015,6,4.932222,346.5289,21.63804,95.07317,1021.583
11,12,2015,7,6.616111,16.06527,22.54955,89.67416,1021.804
11,12,2015,8,7.589444,16.21961,25.34028,75.15556,1021.917
11,12,2015,9,5.584444,15.2459,27.02841,66.46591,1022.002
11,12,2015,10,4.795,13.10143,29.01935,52.22222,1021.827
11,12,2015,11,5.714444,46.28699,29.81343,46.35556,1021.522
11,12,2015,12,11.92833,82.11004,28.16484,64.74719,1020.928
11,12,2015,13,14.18056,79.11758,27.31343,69.40385,1020.268
11,12,2015,14,13.10667,76.06417,27.43836,69.58025,1019.928
11,12,2015,15,12.31667,64.81866,27.42188,65.46667,1019.813
11,12,2015,16,12.45722,54.82563,27.09615,65.38889,1019.63
11,12,2015,17,11.62389,49.90572,25.62366,69.81098,1019.742
11,12,2015,18,10.36833,48.77262,24.73214,79.54667,1020.045
11,12,2015,19,9.775556,47.55112,24.45,85.5,1020.533
11,12,2015,20,9.299444,44.41519,24.34043,89.10638,1021.2
11,12,2015,21,9.437222,39.83607,24.11538,89.5814,1021.678
11,12,2015,22,8.672222,39.00871,24.40984,91.04225,1021.901
11,12,2015,23,8.238889,36.0932,24.17045,93.06329,1021.594
12,12,2015,0,7.183889,32.38591,23.49206,93.34091,1021.283
12,12,2015,1,7.023333,31.4285,23.19737,95.75,1021.017
12,12,2015,2,7.054444,28.33934,24,96.29851,1020.922
12,12,2015,3,6.99,29.7527,23.40426,96.36111,1021.045
12,12,2015,4,6.01,26.26864,23.44803,96.77778,1021.475
12,12,2015,5,5.331667,26.86478,23.4918,97.58065,1021.91
12,12,2015,6,3.400556,15.86786,22.82927,97.65909,1022.388
12,12,2015,7,5.963889,32.71592,24.30769,93.97619,1022.488
12,12,2015,8,6.965,23.07792,26.11852,83.06111,1022.736
12,12,2015,9,7.054444,29.05159,27.44231,69.57778,1022.831
12,12,2015,10,5.930556,42.62158,28.62791,58.09444,1022.772
12,12,2015,11,10.86111,82.24411,27.64384,60.65,1022.228
12,12,2015,12,12.04778,81.99074,27.61856,61.24444,1021.772
12,12,2015,13,12.50778,83.25282,27.98387,55.29444,1021.358
12,12,2015,14,13.48611,83.24929,27.06202,64.89444,1020.868
12,12,2015,15,13.22611,83.68453,26.25316,76.25,1020.705
12,12,2015,16,13.065,83.24502,25.45098,84.42073,1020.561
12,12,2015,17,12.64389,79.02667,25.34,87.95,1020.692
12,12,2015,18,11.39444,72.99326,24.52,94,1020.793
12,12,2015,19,9.295556,62.37527,24.51,91.56962,1021.387
12,12,2015,20,8.351667,55.22258,24.5,92.38095,1021.972
12,12,2015,21,8.591111,52.38873,25,92.29032,1022.2
12,12,2015,22,8.045,55.39642,24.15152,94.45545,1022.404
12,12,2015,23,7.885556,49.94885,24.4186,95.30556,1022.049
13,12,2015,0,6.714444,49.68028,24.5,96.39474,1021.9
13,12,2015,1,6.465556,52.18916,24.48649,96.68519,1021.624
13,12,2015,2,5.937222,53.9492,24.3,97.07692,1021.481
13,12,2015,3,6.921667,52.36462,24.05128,96.46154,1021.513
13,12,2015,4,5.621111,41.21439,23.53247,97.07527,1021.825
13,12,2015,5,4.432778,27.75622,24.25,98,1022.131
13,12,2015,6,3.997778,39.9339,23.83217,97.51351,1022.508
13,12,2015,7,4.650556,43.48029,24.58065,93.64865,1022.776
13,12,2015,8,4.503333,53.43865,25.34921,87.5,1022.965
13,12,2015,9,6.114444,97.91177,25.35938,87.67123,1023.067
13,12,2015,10,8.903333,92.61501,25.05333,91.5,1022.716
13,12,2015,11,10.59167,98.83823,24.43333,94.19231,1022.427
13,12,2015,12,11.04,93.03099,25.03636,91.39655,1022.024
13,12,2015,13,13.37833,85.45681,24.9798,90.32222,1021.47
13,12,2015,14,13.605,77.88536,25.55224,86.11111,1020.961
13,12,2015,15,12.90611,81.1965,26.2,80.6,1020.911
13,12,2015,16,13.15722,79.29894,26.05769,81.26111,1020.758
13,12,2015,17,12.94556,74.34669,25.50704,81.61111,1020.706
13,12,2015,18,12.34833,66.22167,25.54605,80.07742,1021.036
13,12,2015,19,12.01713,64.89498,24.61111,80.25253,1010.107
13,12,2015,20,9.955,60.41721,25.42,85.74648,1021.93
13,12,2015,21,9.278333,56.814,24.66667,87.73171,1022.325
13,12,2015,22,7.7,52.48608,24.33333,89.30841,1022.487
13,12,2015,23,6.554444,46.24016,24.66667,90.7,1022.363
14,12,2015,0,6.806667,43.84912,24.31313,91.9505,1022.072
14,12,2015,1,6.588889,47.89141,25,93.27778,1022.021
14,12,2015,2,5.365556,40.90471,24.5082,94.70492,1021.997
14,12,2015,3,5.472778,38.25311,23.79592,96,1021.969
14,12,2015,4,4.538889,30.76814,23.54167,94.53846,1022.124
14,12,2015,5,2.868889,30.13547,24.05556,94.62651,1022.61
14,12,2015,6,1.133333,346.7641,23.61194,94.2043,1022.981
14,12,2015,7,1.533889,67.55085,24.87313,91.42105,1023.307
14,12,2015,8,3.07,108.5864,24.89855,89.85034,1023.513
14,12,2015,9,5.107778,100.2556,24.58974,89.22543,1023.526
14,12,2015,10,6.872222,102.5972,25.3578,89.48171,1023.242
14,12,2015,11,8.138333,99.76198,25.27273,85.54444,1022.8
14,12,2015,12,9.525556,98.51851,25.56111,81.80556,1022.315
14,12,2015,13,9.956667,99.4075,25.5,84.47973,1021.872
14,12,2015,14,9.851667,92.14871,25.24,88.43165,1021.399
14,12,2015,15,9.844444,89.16828,25.41463,86.38824,1021.007
14,12,2015,16,8.628889,90.60719,25.24138,84.90964,1021.003
14,12,2015,17,7.855556,90.2399,25.4359,86.52,1021.145
14,12,2015,18,7.562778,85.82682,25.18421,89.27848,1021.311
14,12,2015,19,8.482778,78.72674,25.13636,87.37681,1021.377
14,12,2015,20,8.914444,74.87361,25.38462,87.46078,1021.508
14,12,2015,21,7.758333,80.23593,25.28571,88.32222,1021.899
14,12,2015,22,8.064368,82.04569,25.17949,89.05405,1021.991
14,12,2015,23,7.183333,73.09609,24.80328,91.28916,1021.824
15,12,2015,0,5.581667,58.70395,24.54545,90.6,1021.547
15,12,2015,1,6.656667,55.07173,24.1165,93.00588,1021.342
15,12,2015,2,6.089444,37.77737,23.34426,90.8125,1021.312
15,12,2015,3,5.262222,33.2222,23.97386,89.07222,1021.492
15,12,2015,4,5.495,37.36399,24.33333,90.14667,1021.651
15,12,2015,5,5.231159,48.8135,24.205,91.46667,1022.123
15,12,2015,6,3.883333,47.30371,24.08333,92.26087,1022.709
15,12,2015,7,5.232222,66.53812,24.47826,90.83784,1023.015
15,12,2015,8,5.838889,78.12464,25.26027,83.44526,1023.075
15,12,2015,9,5.768333,99.07278,26,84.51408,1023.293
15,12,2015,10,5.881111,91.57252,25.68067,79.38889,1023.173
15,12,2015,11,8.807778,96.27518,25.39181,76.23889,1022.777
15,12,2015,12,8.615556,96.0063,25.45033,76.13889,1022.346
15,12,2015,13,9.140556,95.6043,25.58333,76.85,1021.824
15,12,2015,14,9.568889,96.2461,25.67222,76.72222,1021.443
15,12,2015,15,10.16222,91.09544,25.53409,77.63333,1021.024
15,12,2015,16,10.38778,84.79661,25.15094,80.03472,1020.84
15,12,2015,17,10.795,79.60038,25.42857,82.56983,1020.698
15,12,2015,18,10.46111,72.4143,23.91919,79.63842,1015.422
15,12,2015,19,10.14889,72.37579,24.43421,81.54819,1018.434
15,12,2015,20,9.415556,65.33797,24.20301,82.0719,1021.258
15,12,2015,21,8.382222,60.15772,24.19753,82.50926,1021.383
15,12,2015,22,8.211667,50.15277,23.40625,85.22222,1021.35
15,12,2015,23,7.463333,43.28388,23.2931,88.7027,1021.127
16,12,2015,0,7.067778,39.74877,23.17391,89.0989,1021.051
16,12,2015,1,6.826667,36.23377,23.40385,88.28571,1020.679
16,12,2015,2,5.246111,28.44224,23.22222,89.87805,1020.438
16,12,2015,3,4.365,17.6524,23.4,87.83146,1017.393
16,12,2015,4,3.813714,1.497752,23.28571,88.20833,1020.666
16,12,2015,5,3.702778,356.612,22.51515,89.60417,1021.103
16,12,2015,6,4.326875,1.438696,23.4,91,1021.192
16,12,2015,7,3.726667,16.82889,25,87.29885,1021.159
16,12,2015,8,3.409444,66.00265,25.48876,81.42405,1021.843
16,12,2015,9,6.092778,86.68711,25.6,84.75581,1018.924
16,12,2015,10,6.127778,77.82443,24.47222,86.83108,1007.333
